16	Something went wrong. Cannot determine case for k2.	Error	 	
16	Something went wrong. Cannot determine case for k2.	Error	 	
16	Something went wrong. Cannot determine case for k2.	Error	 	
16	Something went wrong. Cannot determine case for k2.	Error	 	
22	Something went wrong. Cannot determine case for k2.	Error	 	
22	Something went wrong. Cannot determine case for k2.	Error	 	
22	Something went wrong. Cannot determine case for k2.	Error	 	
22	Something went wrong. Cannot determine case for k2.	Error	 	
22	Something went wrong. Cannot determine case for k2.	Error	 	
22	Something went wrong. Cannot determine case for k2.	Error	 	
22	Something went wrong. Cannot determine case for k2.	Error	 	
16	Something went wrong. Cannot determine case for k2.	Error	 	
16	Something went wrong. Cannot determine case for k2.	Error	 	
16	Something went wrong. Cannot determine case for k2.	Error	 	
16	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
11	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence007	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence014	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence007	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence001	jaMgala meM eka Sera WA.	jaMgala meM eka Sera WA |	जंगल में एक शेर था |	
Hin_Book1_Story1_Sentence002	vaha jaMgala meM ArAma kara rahA WA.	vaha (Sera) jaMgala meM ArAma kara rahA WA |	वह (शेर) जंगल में आराम कर रहा था |	
Hin_Book1_Story1_Sentence003	vahIM para bila meM eka cUhA rahawA WA.	vahIM (jaMgala) bila meM eka cUhA rahawA WA |	वहीं (जंगल) बिल में एक चूहा रहता था |	
Hin_Book1_Story1_Sentence005	vaha Sera para caDZa gayA.	vaha (cUhA) Sera meM caDa gayA |	वह (चूहा) शेर में चढ गया |	
Hin_Book1_Story1_Sentence007	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence008	isase cUhA dara gayA.	isase cUhA ko dara gayA |	इससे चूहा को डर गया |	
Hin_Book1_Story1_Sentence009	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence010	eka xina mEM ApakI maxaxa avaSya karUzgA.	eka xina ko mEM Apako avaSya maxaxa karUzgA |	एक दिन को मैं आपको अवश्य मदद करूँगा |	
Hin_Book1_Story1_Sentence011	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence011	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence011	Sera usakI bAwa suna kara haMsA	Sera #vaha bAwa sunakara hazsA |	शेर #वह बात सुनकर हँसा |	
Hin_Book1_Story1_Sentence012	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence014	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence016	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence016	Sera ne jAla se nikalane kA prayAsa kiyA.	Sera ne jAla se #nikalanA kA prayAsa kiyA |	शेर ने जाल से #निकलना का प्रयास किया |	
Hin_Book1_Story1_Sentence020	usI samaya vaha cUhA vahAz AyA.	vaha samaya ko vaha cUhA #vahAz AyA |	वह समय को वह चूहा #वहाँ आया |	
Hin_Book1_Story1_Sentence021	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence021	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence022	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence025	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence025	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence001	jaMgala meM eka Sera WA.	jaMgala meM eka Sera WA |	जंगल में एक शेर था |	
Hin_Book1_Story1_Sentence002	vaha jaMgala meM ArAma kara rahA WA.	vaha (Sera) jaMgala meM ArAma kara rahA WA |	वह (शेर) जंगल में आराम कर रहा था |	
Hin_Book1_Story1_Sentence003	vahIM para bila meM eka cUhA rahawA WA.	vahIM (jaMgala) bila meM eka cUhA rahawA WA |	वहीं (जंगल) बिल में एक चूहा रहता था |	
Hin_Book1_Story1_Sentence004	cUhA bila se bAhara AyA.	cUhA bila se bAhara AyA |	चूहा बिल से बाहर आया |	
Hin_Book1_Story1_Sentence005	vaha Sera para caDZa gayA.	vaha (cUhA) Sera meM caDa gayA |	वह (चूहा) शेर में चढ गया |	
Hin_Book1_Story1_Sentence006	Sera jZora se gurrAyA	Sera jora se gurrAyA |	शेर जोर से गुर्राया |	
Hin_Book1_Story1_Sentence007	Something went wrong. Cannot determine case for k2.	Error	 	
Hin_Book1_Story1_Sentence008	isase cUhA dara gayA.	isase cUhA ko dara gayA |	इससे चूहा को डर गया |	
Hin_Book1_Story1_Sentence009	Something went wrong. Cannot determine case for k2.	Error	 	
